From,To,Date,Subject,Main_Subject
Gustav.Cazar@gastech.com.kronos,"Vira.Frente@gastech.com.kronos, Axel.Calzas@gastech.com.kronos",1/13/2014 13:45,2497-00 Initial flow rates,Work related
Vira.Frente@gastech.com.kronos,"Axel.Calzas@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos",1/13/2014 14:18,2497-00 Perforation,Work related
Gustav.Cazar@gastech.com.kronos,"Elsa.Orilla@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos",1/10/2014 8:33,2516-00 openhole logging results,Work related
Felix.Balas@gastech.com.kronos,"Isande.Borrasca@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos",1/17/2014 13:24,2516-00 openhole logging results,Work related
Nils.Calixto@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/2014 9:50,Action: Review network logs,Work related
Linnea.Bergen@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/13/2014,Action: Virus detected on your system,Work related
Linnea.Bergen@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/13/2014 12:32,Action: Virus detected on your system,Work related
Linnea.Bergen@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/13/2014 12:32,Action: Virus detected on your system,Work related
Linnea.Bergen@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,1/13/2014 14:50,Action: Virus detected on your system,Work related
Linnea.Bergen@gastech.com.kronos,"Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos",1/14/2014 14:33,Action: Virus detected on your system,Work related
Linnea.Bergen@gastech.com.kronos,"Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos",1/14/2014 14:33,Action: Virus detected on your system,Work related
Linnea.Bergen@gastech.com.kronos,"Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos",1/14/2014 14:33,Action: Virus detected on your system,Work related
Mat.Bramar@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",1/6/2014 15:42,All staff announcement,Work related
Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/8/2014 9:48,Anyone have a spare monitor?,Work related
Carla.Forluniau@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/13/2014 12:09,Anyone have time to help on a project?,Work related
Nils.Calixto@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/10/2014 13:24,Anyone have time to help troubleshoot some software?,Work related
Isak.Baza@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/16/2014 13:54,Anyone have time to help troubleshoot some software?,Work related
Claudio.Hawelon@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,1/6/2014 15:14,Are you buying coffee?,Non-work related
Birgitta.Frente@gastech.com.kronos,Isak.Baza@gastech.com.kronos,1/15/2014 13:45,Are you buying coffee?,Non-work related
Benito.Hawelon@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,1/17/2014 9:23,Are you buying coffee?,Non-work related
Lucas.Alcazar@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/14/2014 15:48,Article - interesting,Non-work related
Isak.Baza@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/17/2014 9:32,Article - interesting,Non-work related
Stenig.Fusil@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,1/8/2014 11:31,Awwww- cute!,Non-work related
Isia.Vann@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1/9/2014 11:51,Awwww- cute!,Non-work related
Minke.Mies@gastech.com.kronos,Adra.Nubarron@gastech.com.kronos,1/10/2014 12:52,Awwww- cute!,Non-work related
Vira.Frente@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,1/17/2014 14:39,Awwww- cute!,Non-work related
Linda.Lagos@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/8/2014 9:00,Babysitting recommendations,Non-work related
Linda.Lagos@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/14/2014 12:35,Babysitting recommendations,Non-work related
Carla.Forluniau@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/17/2014 12:42,Babysitting recommendations,Non-work related
Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/7/2014 15:50,Be Careful!,Work related
Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/14/2014 12:22,Be Careful!,Work related
Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Nils.Calixto@gastech.com.kronos",1/9/2014 10:23,Can anyone swap on-call slots with me?,Work related
Cornelia.Lais@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/7/2014 14:21,Can someone cover for me next week?,Work related
Isak.Baza@gastech.com.kronos,"Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",1/14/2014 12:46,Can someone verify this behavior?,Work related
Marin.Onda@gastech.com.kronos,"Gustav.Cazar@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos",1/13/2014 10:46,Cased-hole inspection schedule,Work related
Linda.Lagos@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/7/2014 13:03,Catering?!?,Non-work related
Carla.Forluniau@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/15/2014 13:31,Catering?!?,Non-work related
Linda.Lagos@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",1/17/2014 13:41,Catering?!?,Non-work related
Adan.Morlun@gastech.com.kronos,"Claudio.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",1/7/2014 16:18,Caution downtown,Non-work related
Cecilia.Morluniau@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos",1/8/2014 11:58,Caution downtown,Non-work related
